Date,Bitcoin_Price
22/07/2022,22714.978515625
23/07/2022,22465.478515625
24/07/2022,22609.1640625
25/07/2022,21361.701171875
26/07/2022,21239.75390625
27/07/2022,22930.548828125
28/07/2022,23843.88671875
29/07/2022,23804.6328125
30/07/2022,23656.20703125
31/07/2022,23336.896484375
01/08/2022,23314.19921875
02/08/2022,22978.1171875
03/08/2022,22846.5078125
04/08/2022,22630.95703125
05/08/2022,23289.314453125
06/08/2022,22961.279296875
07/08/2022,23175.890625
08/08/2022,23809.486328125
09/08/2022,23164.318359375
10/08/2022,23947.642578125
11/08/2022,23957.529296875
12/08/2022,24402.818359375
13/08/2022,24424.068359375
14/08/2022,24319.333984375
15/08/2022,24136.97265625
16/08/2022,23883.291015625
17/08/2022,23335.998046875
18/08/2022,23212.73828125
19/08/2022,20877.552734375
20/08/2022,21166.060546875
21/08/2022,21534.12109375
22/08/2022,21398.908203125
23/08/2022,21528.087890625
24/08/2022,21395.01953125
25/08/2022,21600.904296875
26/08/2022,20260.01953125
27/08/2022,20041.73828125
28/08/2022,19616.814453125
29/08/2022,20297.994140625
30/08/2022,19796.80859375
31/08/2022,20049.763671875
01/09/2022,20127.140625
02/09/2022,19969.771484375
03/09/2022,19832.087890625
04/09/2022,19986.712890625
05/09/2022,19812.37109375
06/09/2022,18837.66796875
07/09/2022,19290.32421875
08/09/2022,19329.833984375
09/09/2022,21381.15234375
10/09/2022,21680.5390625
11/09/2022,21769.255859375
12/09/2022,22370.44921875
13/09/2022,20296.70703125
14/09/2022,20241.08984375
15/09/2022,19701.2109375
16/09/2022,19772.583984375
17/09/2022,20127.576171875
18/09/2022,19419.505859375
19/09/2022,19544.12890625
20/09/2022,18890.7890625
21/09/2022,18547.400390625
22/09/2022,19413.55078125
23/09/2022,19297.638671875
24/09/2022,18937.01171875
25/09/2022,18802.09765625
26/09/2022,19222.671875
27/09/2022,19110.546875
28/09/2022,19426.720703125
29/09/2022,19573.05078125
30/09/2022,19431.7890625
01/10/2022,19312.095703125
02/10/2022,19044.107421875
03/10/2022,19623.580078125
04/10/2022,20336.84375
05/10/2022,20160.716796875
06/10/2022,19955.443359375
07/10/2022,19546.849609375
08/10/2022,19416.568359375
09/10/2022,19446.42578125
10/10/2022,19141.484375
11/10/2022,19051.41796875
12/10/2022,19157.4453125
13/10/2022,19382.904296875
14/10/2022,19185.65625
15/10/2022,19067.634765625
16/10/2022,19268.09375
17/10/2022,19550.7578125
18/10/2022,19334.416015625
19/10/2022,19139.53515625
20/10/2022,19053.740234375
21/10/2022,19172.46875
22/10/2022,19208.189453125
23/10/2022,19567.0078125
24/10/2022,19345.572265625
25/10/2022,20095.857421875
26/10/2022,20770.44140625
27/10/2022,20285.8359375
28/10/2022,20595.3515625
29/10/2022,20818.4765625
30/10/2022,20635.603515625
31/10/2022,20495.7734375
01/11/2022,20485.2734375
02/11/2022,20159.50390625
03/11/2022,20209.98828125
04/11/2022,21147.23046875
05/11/2022,21282.69140625
06/11/2022,20926.486328125
07/11/2022,20602.81640625
08/11/2022,18541.271484375
09/11/2022,15880.7802734375
10/11/2022,17586.771484375
11/11/2022,17034.29296875
12/11/2022,16799.185546875
13/11/2022,16353.365234375
14/11/2022,16618.19921875
15/11/2022,16884.61328125
16/11/2022,16669.439453125
17/11/2022,16687.517578125
18/11/2022,16697.77734375
19/11/2022,16711.546875
20/11/2022,16291.83203125
21/11/2022,15787.2841796875
22/11/2022,16189.76953125
23/11/2022,16610.70703125
24/11/2022,16604.46484375
25/11/2022,16521.841796875
26/11/2022,16464.28125
27/11/2022,16444.626953125
28/11/2022,16217.322265625
29/11/2022,16444.982421875
30/11/2022,17168.56640625
01/12/2022,16967.1328125
02/12/2022,17088.66015625
03/12/2022,16908.236328125
04/12/2022,17130.486328125
05/12/2022,16974.826171875
06/12/2022,17089.50390625
07/12/2022,16848.126953125
08/12/2022,17233.474609375
09/12/2022,17133.15234375
10/12/2022,17128.724609375
11/12/2022,17104.193359375
12/12/2022,17206.4375
13/12/2022,17781.318359375
14/12/2022,17815.650390625
15/12/2022,17364.865234375
16/12/2022,16647.484375
17/12/2022,16795.091796875
18/12/2022,16757.9765625
19/12/2022,16439.6796875
20/12/2022,16906.3046875
21/12/2022,16817.53515625
22/12/2022,16830.341796875
23/12/2022,16796.953125
24/12/2022,16847.755859375
25/12/2022,16841.986328125
26/12/2022,16919.8046875
27/12/2022,16717.173828125
28/12/2022,16552.572265625
29/12/2022,16642.341796875
30/12/2022,16602.5859375
31/12/2022,16547.49609375
01/01/2023,16625.080078125
02/01/2023,16688.470703125
03/01/2023,16679.857421875
04/01/2023,16863.23828125
05/01/2023,16836.736328125
06/01/2023,16951.96875
07/01/2023,16955.078125
08/01/2023,17091.14453125
09/01/2023,17196.5546875
10/01/2023,17446.29296875
11/01/2023,17934.896484375
12/01/2023,18869.587890625
13/01/2023,19909.57421875
14/01/2023,20976.298828125
15/01/2023,20880.798828125
16/01/2023,21169.6328125
17/01/2023,21161.51953125
18/01/2023,20688.78125
19/01/2023,21086.79296875
20/01/2023,22676.552734375
21/01/2023,22777.625
22/01/2023,22720.416015625
23/01/2023,22934.431640625
24/01/2023,22636.46875
25/01/2023,23117.859375
26/01/2023,23032.77734375
27/01/2023,23078.728515625
28/01/2023,23031.08984375
29/01/2023,23774.56640625
30/01/2023,22840.138671875
31/01/2023,23139.283203125
01/02/2023,23723.76953125
02/02/2023,23471.87109375
03/02/2023,23449.322265625
04/02/2023,23331.84765625
05/02/2023,22955.666015625
06/02/2023,22760.109375
07/02/2023,23264.291015625
08/02/2023,22939.3984375
09/02/2023,21819.0390625
10/02/2023,21651.18359375
11/02/2023,21870.875
12/02/2023,21788.203125
13/02/2023,21808.1015625
14/02/2023,22220.8046875
15/02/2023,24307.841796875
16/02/2023,23623.474609375
17/02/2023,24565.6015625
18/02/2023,24641.27734375
19/02/2023,24327.642578125
20/02/2023,24829.1484375
21/02/2023,24436.353515625
22/02/2023,24188.84375
23/02/2023,23947.4921875
24/02/2023,23198.126953125
25/02/2023,23175.375
26/02/2023,23561.212890625
27/02/2023,23522.87109375
28/02/2023,23147.353515625
01/03/2023,23646.55078125
02/03/2023,23475.466796875
03/03/2023,22362.6796875
04/03/2023,22353.349609375
05/03/2023,22435.513671875
06/03/2023,22429.7578125
07/03/2023,22219.76953125
08/03/2023,21718.080078125
09/03/2023,20363.021484375
10/03/2023,20187.244140625
11/03/2023,20632.41015625
12/03/2023,22163.94921875
13/03/2023,24197.533203125
14/03/2023,24746.07421875
15/03/2023,24375.9609375
16/03/2023,25052.7890625
17/03/2023,27423.9296875
18/03/2023,26965.87890625
19/03/2023,28038.67578125
20/03/2023,27767.236328125
21/03/2023,28175.81640625
22/03/2023,27307.4375
23/03/2023,28333.97265625
24/03/2023,27493.28515625
25/03/2023,27494.70703125
26/03/2023,27994.330078125
27/03/2023,27139.888671875
28/03/2023,27268.130859375
29/03/2023,28348.44140625
30/03/2023,28033.5625
31/03/2023,28478.484375
01/04/2023,28411.03515625
02/04/2023,28199.30859375
03/04/2023,27790.220703125
04/04/2023,28168.08984375
05/04/2023,28177.984375
06/04/2023,28044.140625
07/04/2023,27925.859375
08/04/2023,27947.794921875
09/04/2023,28333.05078125
10/04/2023,29652.98046875
11/04/2023,30235.05859375
12/04/2023,30139.052734375
13/04/2023,30399.06640625
14/04/2023,30485.69921875
15/04/2023,30318.49609375
16/04/2023,30315.35546875
17/04/2023,29445.044921875
18/04/2023,30397.552734375
19/04/2023,28822.6796875
20/04/2023,28245.98828125
21/04/2023,27276.91015625
22/04/2023,27817.5
23/04/2023,27591.384765625
24/04/2023,27525.33984375
25/04/2023,28307.59765625
26/04/2023,28422.701171875
27/04/2023,29473.787109375
28/04/2023,29340.26171875
29/04/2023,29248.48828125
30/04/2023,29268.806640625
01/05/2023,28091.568359375
02/05/2023,28680.537109375
03/05/2023,29006.30859375
04/05/2023,28847.7109375
05/05/2023,29534.384765625
06/05/2023,28904.623046875
07/05/2023,28454.978515625
08/05/2023,27694.2734375
09/05/2023,27658.775390625
10/05/2023,27621.755859375
11/05/2023,27000.7890625
12/05/2023,26804.990234375
13/05/2023,26784.078125
14/05/2023,26930.638671875
15/05/2023,27192.693359375
16/05/2023,27036.650390625
17/05/2023,27398.802734375
18/05/2023,26832.208984375
19/05/2023,26890.12890625
20/05/2023,27129.5859375
21/05/2023,26753.826171875
22/05/2023,26851.27734375
23/05/2023,27225.7265625
24/05/2023,26334.818359375
25/05/2023,26476.20703125
26/05/2023,26719.291015625
27/05/2023,26868.353515625
28/05/2023,28085.646484375
29/05/2023,27745.884765625
30/05/2023,27702.349609375
31/05/2023,27219.658203125
01/06/2023,26819.97265625
02/06/2023,27249.58984375
03/06/2023,27075.12890625
04/06/2023,27119.06640625
05/06/2023,25760.09765625
06/06/2023,27238.783203125
07/06/2023,26345.998046875
08/06/2023,26508.216796875
09/06/2023,26480.375
10/06/2023,25851.240234375
11/06/2023,25940.16796875
12/06/2023,25902.5
13/06/2023,25918.728515625
14/06/2023,25124.67578125
15/06/2023,25576.39453125
16/06/2023,26327.462890625
17/06/2023,26510.67578125
18/06/2023,26336.212890625
19/06/2023,26851.029296875
20/06/2023,28327.48828125
21/06/2023,30027.296875
